date,headline,news,naive_prompt_seed_01,naive_prompt_seed_02,naive_prompt_seed_03,naive_prompt_seed_04,naive_prompt_seed_05,naive_prompt_seed_06,naive_prompt_seed_07,naive_prompt_seed_08,naive_prompt_seed_09,naive_prompt_seed_10,naive_plus_prompt_seed_01,naive_plus_prompt_seed_02,naive_plus_prompt_seed_03,naive_plus_prompt_seed_04,naive_plus_prompt_seed_05,naive_plus_prompt_seed_06,naive_plus_prompt_seed_07,naive_plus_prompt_seed_08,naive_plus_prompt_seed_09,naive_plus_prompt_seed_10,expert_prompt_seed_01,expert_prompt_seed_02,expert_prompt_seed_03,expert_prompt_seed_04,expert_prompt_seed_05,expert_prompt_seed_06,expert_prompt_seed_07,expert_prompt_seed_08,expert_prompt_seed_09,expert_prompt_seed_10,finbert_label_seed_01,finbert_label_seed_02,finbert_label_seed_03,finbert_label_seed_04,finbert_label_seed_05,finbert_label_seed_06,finbert_label_seed_07,finbert_label_seed_08,finbert_label_seed_09,finbert_label_seed_10,fatouros_p1,fatouros_p2,fatouros_p3,fatouros_p4,ballinari_p
2024-01-19 12:15:05,RPT-BUZZ-View of the Week-China data spurs short yuan bets; charts say wait,"RPT-BUZZ-View of the Week-China data spurs short yuan bets; charts say waitJan 19 (Reuters)

(Repeats with no changes)

Jan 19 (Reuters) - Bearish yuan bets have been validated by China's December economic data, which outweighed any support from policymakers resisting a rate cut to avoid exerting more pressure on the currency. Yet, charts suggest yuan sellers should proceed cautiously.

The daily USD/CNH chart is flashing signs that the rally has exhausted itself and consolidation lower is ahead.

Wednesday's doji candlestick signalled indecision as buyers met offers lurking before major technical resistance levels. Thursday's pullback, which importantly, was preceded by the doji, may have affirmed a top.

The descending 100-day moving average at 7.2414 now coincides with the 23.6% Fibonacci retracement of the April-September rally, creating a formidable chart barrier. A retreat to where the 55 DMA meets the 200 DMA, near 7.1850, could play out as Chinese FX authorities muscle the onshore market via spot intervention as well as much stronger daily yuan benchmarks.

In the near-term, USD/CNH may gyrate in a 7.1625-7.2410 range, demarcated by the 38.2% and 23.6% Fibonacci lines. But that zone could narrow as the 100 DMA and 200 DMA converge toward the psychological watermark of 7.2000, which might be a level that Beijing is defending in the onshore USD/CNY.

While punters may try shorting the yuan on the chance of a cut to the one-year loan prime rate on Monday, a trimming of the five-year mortgage reference rate seems more likely. That would boost property sentiment and potentially, the yuan.

For more click on [FXBUZ]

<^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ CNHFIBO: https://tmsnrt.rs/4aWtfMZ

^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^> (Ewen Chew is a Reuters market analyst. The views expressed are his own. Editing by Sonali Desai) ((ewen.chew@thomsonreuters.com))",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
2024-01-19 13:18:17,FOREX-Доллар может завершить неделю в плюсе на фоне умеренных ожиданий снижения ставок,"ЛОНДОН/СИНГАПУР, 19 янв (Рейтер) - Доллар в пятницу
удерживает позиции и может показать рост по итогам недели:
признаки устойчивости американской экономики и осторожные
комментарии представителей центральных банков заставили
трейдеров умерить ожидания снижения ставок.
    ""Данные о деловой активности в США и сигналы от центральных
банков говорят о том, что рынки слишком агрессивно
позиционированы в отношении снижения ставок в 2024 году, и это
касается как сроков, так и масштабов снижения""- сказал Ричард
Франулович из Westpac.
    ""Это, а также новая волна нестабильности на китайских рынках
недвижимости и финансовых рынках, вернули доллар в строй"".
    Индекс доллара к корзине из шести основных валют <=USD> к
15:50 МСК был стабилен на уровне 103,38. Индекс ""зеленого"" может
вырасти на 0,9% по итогам недели.
    Евро <EUR=> не показывал ярко выраженной динамики, торгуясь
вблизи отметки $1,0879​ и, вероятно, завершит пятидневку спадом
примерно на 0,6%.
    ""Евро как бы застрял в этом диапазоне, - говорит Эрик
Нельсон из Wells Fargo. - В этом году он практически не
изменился"".
    Иена <JPY=> торговалась по 148,15 за доллар: базовая
инфляция в Японии замедлилась до 2,3% в декабре в годовом
исчислении - это самые низкие темпы роста цен с июня 2022 года.
    Фунт стерлингов <GBP=> опустился на 0,21% до $1,2678​ после
того, как данные в пятницу показали, что розничные продажи в
Великобритании в декабре упали сильнее всего за три года, и этот
сюрприз рынки расценили как предвестник рецессии.
    Швейцарский франк <CHF=> подешевел на 0,12% до $0,869​.
    Австралийский доллар <AUD=> подорожал на 0,35% до $0,6593​, 
в то время как его новозеландский коллега <NZD=> не показывал
ярко выраженной динамики, торгуясь на уровне $0,6113​. 
    Юань на материковом рынке <CNY=D3> был стабилен вблизи
отметки 7,1905​ за доллар, на офшорном рынке <CNH=> китайская
валюта подорожала на 0,16% до 7,2033. 
    Биткоин <BTC=BTSP> снизился на 0,12% до $41.234, накануне
коснувшись пятинедельного минимума в $40.484, так как трейдеры
фиксировали прибыль после одобрения в США биржевых фондов
биткоина.
    Эфириум <ETH=BTSP> тем временем поднялся на 0,43% до
$2.478,4.
         
    Оригинал сообщения на английском языке доступен по коду:
[nL1N3E90RA]   

    <^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
World FX rates    https://tmsnrt.rs/2RBWI5E
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^>
 (Гарри Робертсон в Лондоне и Том Уэстбрук в Сингапуре)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
2024-01-19 13:32:59,BUZZ-USD/CNH-Old resistance turned support is now threatened,"* US yields <US2YT=RR> traded slightly softer Friday, weighed on US$
    * USD/CNH extended is drop from the Jan. 17 high, hit 7.1966 on D3
    * Equity <ESv1>, gold <XAU=>, iron-ore <DCIOC2> gains weighed on USD/CNH
    * Pair is probing old resistance near 7.2000 which is now support
    * Falling daily RSI implies short-term downward momentum is in place
    * 10- & 200-DMAs, Jan. 16 daily low are impediments for USD/CNH shorts
    * Rising monthly RSI implies l-t upward momentum, correction may be shallow
    * For more click on [FXBUZ]


    <^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
usdcnh    https://tmsnrt.rs/491Yc0y
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^>
 (Christopher Romano is a Reuters market analyst. The views expressed are his
own)
 ((christopher.romano@thomsonreuters.com;))",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,1,0,-1,-1,-1,0
2024-01-19 14:05:46,CNH: Tighter Funding Lends Some Support,"CNH: Tighter Funding Lends Some SupportCNH: Tighter Funding Lends Some Support

MNI (London) - Plenty of focus on CNH TN points which see a meaningful move to
marginal positive territory, reflecting tighter funding conditions (higher cost
of shorting CNH).

* There hasn't been much in the way of news flow on that side, although some
  have suggested that policymaker guidance/action may be at play given the
  combination of the recent move higher in USD/yuan, the run of outflows from
  mainland Chinese equities (six straight days of net outflows via the HK-China
  Stock Connect links, totalling ~CNY26.5bn, including the largest round of net
  daily sales seen since Oct '22) and continued worry surrounding Chinese
  economic performance.
* Elsewhere, some desks think participants may have waited until Friday to
  deliver maximum impact re: the funding squeeze, given the potential for
  dealer book squaring into the weekend.
* USD/CNH sits around CNH7.20, after pulling back from Wednesday's high
  (CNH7.2322). This week's break of resistance at the 50-day EMA and then
  7.2000 provides stronger short-term bullish technical conditions. A
  resumption of gains would open the way towards CNH7.2500 which protects the
  61.8% retracement of the Sep 8-Dec 29 downleg (CNH7.2610). Zooming out,
  moving average studies continue to indicate a medium-term downtrend. A clear
  break of the 20-day EMA (CNH7.1805) would highlight a possible bearish
  reversal.",1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,1,0
2024-01-19 14:48:54,BUZZ-FX options wrap - Central Bank policy and Presidential risk,"FX option implied volatility is back under pressure since the latest USD
recovery ran out of steam, but lower levels are drawing demand to cover the
increased risk of realised FX volatility from interest rate divergence and a
Trump election win. 
    There are buyers of FX volatility protection after the March 30 U.S. Federal
Reserve policy announcement (2-month expiry) which is the most likely perceived
date for the first U.S. rate cut. The rate outlook remains data dependent and
there's still plenty of data to come before the March meeting. 
    Options expiring after the November 5 U.S. election have seen increased
demand since Donald Trump's recent success at the Iowa caucuses. His previous
presidency bought plenty of volatility risk to markets.
    Lower implied volatility translates to cheaper options, but reflects the
lack of conviction within recent and familiar FX ranges. The risk of a USD/JPY
setback that would boost implied volatility might be growing and suggests a
preference to own downside strikes. Dealers also cite the pending U.S./Japan
rate divergence as a potential volatility risk that could be better realised by
including the mid-June U.S. and Japanese policy announcements. 
    
        For more click on [FXBUZ]

    <^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
USDJPY 3-month FXO 25 delta risk reversals    https://tmsnrt.rs/3tVPLoz
1-month expiry FXO implied volatility    https://tmsnrt.rs/47AlLfG
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^>
 (Richard Pace is a Reuters market analyst. The views expressed are his own)
 ((Richard.pace@thomsonreuters.com;))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,1
2024-01-19 14:54:08,Рубль вернулся к росту после трех не слишком удачных сессий,"МОСКВА, 19 янв (Рейтер) - Рубль дорожает к вечеру
пятницы во всех трех ключевых кросс-курсах и готов показать
итоговый недельный рост за счет локальной поддержки от продажи
иностранной валюты сырьевыми корпорациями и российским
Центробанком.
    Пятничные торги при этом проходят при отмечаемом участниками
рынка достаточно невысокой активности экспортеров после
реализации накопившейся за каникулы выручки, однако одновременно
сократился и локальный спрос на валюту, что уже со вчерашнего
дня отражается в снижении биржевых объемов. 
    Пара доллар/рубль расчетами ""завтра"" к 17.45 МСК была у
отметки 88,33, и рубль набирает 0,8% <RUBUTSTN=MCX>.
    Пара евро/рубль котировалась по 96,12 <EURRUBTN=MCX>, и
рубль дорожает на 0,5%.
        Против юаня рубль подрастает на четверть процента и
котируется вблизи 12,23 <CNYRUBTOM=MCX>.
  
        С конца прошлой пятницы рубль дорожает на 0,2% к доллару
и на 1% по отношению к евро, и в полдюйме от зеленой зоны в паре
с юанем, тем самым реабитилировавшись после трех не слишком
удачных биржевых сессий (в среду падение российской валюты
превысило 1%).
  
        Крупнейшие российские экспортеры продают валютную
выручку в обязательном порядке согласно октябрьскому указу
президента РФ, при этом далее сырьевые корпорации могут
увеличить активность на рынке под уплату 29 января декабрьского
НДПИ и налога на сверхприбыль за 2023 год.
    Параллельно российской Центробанк с 15 января продает
иностранную валюту (китайские юани) и золото по бюджетному
правилу, на 4,1 миллиарда рублей в день. Кроме того, регулятор
стал корректировать размер интервенций на сумму расходов из ФНБ
на финансирование дефицита бюджета и инвестиций в 2023 году.
    Согласно отчетности Центробанка, сейчас он продает валюту
суммарно на 16,5 миллиарда рублей в день ($186 миллионов по
текущему курсу).
    Рубль при этом показал значительное снижение в середине
текущей недели, которое еще может неактивно повлиять на
недельный результат российской валюты.
        Это падение рубля в середине во многом было вызвано
технической коррекцией после пятидневного роста российской
валюты до максимумов с конца июня прошлого года, 87,37 за
доллар, 94,70 за евро и 12,10 за юань.
    Коррекция наложилась на усиление неопределенности во
внешнеторговой сфере после сообщений о сокращении банками КНР и
Турции операций с российскими контрагентами и клиентами, а также
на снижение активности экспортеров. На внешнем контуре против
сыграло укрепление доллара США против большинства конкурентов.
    Тем не менее вышеуказанные факторы поддержки в виде
локальных продаж валюты вместе с фактором предстоящих налоговых
выплат могут далее поддерживать рубль при прочих равных
условиях.
    ""Пока курс может остаться вблизи 88,50-89,50 за доллар, но
во второй половине предстоящей недели доллар способен снизиться
к 87 в связи с более высоким предложением валюты на фоне
налогового периода"", - предположили аналитики банка
Санкт-Петербург.
    По мнению Михаила Васильева из Совкомбанка, рубль в первом
квартале может подорожать до 85 за доллар, 93 за евро и 11,7 за
юань.
    Аналитики инвестбанка Синара прогнозируют средний курс пары
доллар/рубль на текущий год в 88,00, но при этом считают, что
далее госструктуры перейдут к чистым покупкам валюты на рынке,
""которые не позволят рублю сильно укрепиться"". 
    

 (Московское бюро)
 ((moscow.newsroom@thomsonreuters.com;))",0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2024-01-22 09:01:12,更新版 1-中国汇市：股市重挫人民币收创逾两个月新低，大行积极行动力阻在岸跌破7.2,"* 
      人民币收创逾两个月新低，日内波幅十分有限
    

        * 
      中间价回到一周高点，路透预测偏离略收窄至逾750点
    

        * 
      市场持续修正美联储降息节奏，今日中港股市重挫
    

        * 
      监管不遗余力维稳，人民币续跌空间有限
    

  
 (新增评论及收盘报价)
       路透上海/北京1月22日 - 人民币兑美元即期<CNY=CFXS>周一收创逾两个月新低，
但日内波幅十分有限；中间价则小升至一周高点，和路透预测偏离略收窄至逾750点。交易
员称，近期市场持续修正美联储降息预期，叠加中国股市仍跌跌不休，市场情绪不佳，人民
币料持续承压。
    
    但他们也指出，监管层持续设定强势中间价维稳预期，国有大行也积极行动力阻在岸汇
价跌破7.2关口；短期人民币续跌空间或受限，当然基本面向好前人民币反弹更依赖外部条
件改善。
    
    “短期能稳住7.2就是胜利，后面才能等来反转的机会，”一外资行交易员称。
    
    另一中资行交易员也称，现在的人民币汇率7.2水平和去年的7.3阶段底部很类似。
    
    
    在中国股市大跌之际，国有大行于离、在岸汇市积极行动助稳人民币走势。四位消息人
士透露，午后国有大行加大力度在即期市场抛售美元流动性，力阻在岸人民币跌破7.2元关
口。
    
    瑞穗银行亚洲首席策略师张建泰点评指出，随着中美负利差拉大，人民币贬值压力不断
加剧；中国央行仍担心人民币贬值风险的情况下，央行降息时机将取决于美联储的宽松步伐
。
    
    中金公司外汇团队最新观点称，考虑到由于目前人民币汇率依旧处于多重压力下的紧平
衡水平，稳汇率政策或有望在预期偏弱的时点加码发力；“政策预期改善或有助于市场情绪
边际向好，...，在岸人民币汇率有望维持在7.20的点位以内”。
    
    兴业研究亦指出，美元延续上行态势，人民币兑美元相对其他非美货币较为“抗跌”，
这反映出刚性结汇盘对汇率的支撑仍在。当前7.20附近存在技术性支撑，维持春节前人民币
汇率相对稳定的观点，也需警惕节后人民币修复高估的风险。   
      
    
    全球汇市方面，美元周一力图保住涨势，日本和欧洲的央行即将做出决议，再加上市场
对美联储降息的预期摇摆不定，美元上周末受数据刺激而出现的涨势被迫暂停。[FRX/CN]
    
    芝加哥商品交易所(CME)的FedWatch工具显示，交易商押注美联储降息将从5月开始，而
不是上周之前押注的从3月开始降息。
    
    以下为今日在岸市场人民币兑美元<CNY=CFXS>收盘价、中间价<CNY=PBOC>，以及离岸市
场人民币的主要报价：      
 在岸市场人民币兑美元         今日          上日            升贬
 即期官方收盘价<CNY=CFXS>    7.1968        7.1938              -0.04%
         中间价<CNY=PBOC>    7.1105        7.1167               0.09%
       日内波动幅度(pips)      74        日低7.1979      日高7.1905
                     今年以来升贬幅度                          -1.46%
               2005年汇改以来升贬幅度                          15.00%
 一年期美元/人民币掉期<CN       -2492            -2465        
                Y1Y=CFXA>                               
 截至当前即期成交量<CNYSP  238.58亿美                                
               TVOL=CFXT>  元                           
                                                                     
 离岸人民币市场               今日          上日                     
         CNH即期<CNH=D3>     7.2069        7.2019              -0.07%
       一年期美元/CNH掉期   -1601.99      -1635.84                   
                 <CNH1Y=>                               
  一年期NDF<CNY1YNDFOR=>     7.0187        7.0137              -0.07%
 
    （完）
    
    相关报导：          
    --外汇交易中心人民币汇率指数上周均上行，CFETS指数上涨至98.76[nL4S3EC04I]
    --路透测算的人民币汇率CFETS指数暂脱离五周高点，本月仍升1.29%[nL4S3EC0CX]

    <^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
CNY24012201    https://tmsnrt.rs/48EHswr
CNY24012202    https://tmsnrt.rs/3HsKsA1
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^>
 (发稿 张金栋/韩笑；审校 杨淑祯/田镧沁)
 ((Jindong.Zhang@thomsonreuters.com; +86 21 20830168; Reuters Messaging:
Jindong.Zhang.thomsonreuters.com@thomsonreuters.net))",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
2024-01-22 10:00:48,BUZZ-Falling option premiums reflect a more stable Yuan,"* China stocks falling hard, while Yuan intervention suspected on Monday
    * China does appear to be succeeding in keeping the Yuan fair stable of late
    * FX option implied volatility gauges realised FX volatility/expectations 
    * It's been falling beside past realised (historic) volatility measures 
    * Benchmark 1-month expiry implied volatility 3.95 vs 5.7 late December 
    * 3.5 is early November low since April 2022 and likely to underpin 

For more click on [FXBUZ]

    <^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
USD/CNH FX option implied vs realised volatility    https://tmsnrt.rs/3Sr7VaV
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^>
 (Richard Pace is a Reuters market analyst. The views expressed are his own)
 ((Richard.Pace@thomsonreuters.com))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0
2024-01-22 10:41:40,Рубль подрастает благодаря ЦБР при невысокой корпоративной активности,"МОСКВА, 22 янв (Рейтер) - Рубль умеренно дорожает на
основной биржевой сессии понедельника - при отмечаемой сейчас
участниками рынка невысокой активности корпоративных покупателей
и продавцов иностранной валюты положительно для рубля проявляют
себя интервенции Центробанка.
    Аналитики и трейдеры ждут усиления позитивной динамики
российской валюты к концу месяца, когда экспортеры будут
уплачивать налоги, для чего сырьевые корпорации могут нарастить
продажу валютной выручки за рубли.
    Пара доллар/рубль расчетами ""завтра"" к 13.30 МСК была у
отметки 87,93, и рубль набирает 0,3% <RUBUTSTN=MCX>.
        Пара евро/рубль котировалась по 95,75 <EURRUBTN=MCX>, и
здесь рубль набирает 0,4%.
  
        Против юаня рубль дорожает на 0,3% и котируется вблизи
12,18 <CNYRUBTOM=MCX>.
  
        Объемы биржевых сделок этими валютными парами к 13.30
МСК составляют $460 миллионов, 125 миллионов евро и 6,4
миллиарда юаней, что отстает от значений середины дня на
предыдущих сессиях.
  
        Российской Центробанк с 15 января продает иностранную
валюту (китайские юани) и золото по бюджетному правилу, на 4,1
миллиарда рублей в день. Кроме того, регулятор стал
корректировать размер интервенций на сумму расходов из ФНБ на
финансирование дефицита бюджета и инвестиций в 2023 году.
    Согласно отчетности Центробанка, сейчас он продает валюту
суммарно на 16,5 миллиарда рублей в день ($187 миллионов по
текущему курсу).
    ""На этой неделе активность экспортеров должна вырасти в
преддверии налоговых и дивидендных выплат. Мы считаем, что в
этих условиях рубль будет дорожать и сегодня закрепится около 88
за доллар"", - сообщили аналитики SberCIB.
    Крупнейшие российские экспортеры продают валютную выручку в
обязательном порядке согласно октябрьскому указу президента РФ,
при этом им предстоит 29 января Единый налоговый платеж, куда
входит декабрьский НДПИ и налог на сверхприбыль за 2023 год.
    ""На текущей неделе российская валюта начнет получать
поддержку от приближения пика налогового периода. Ждем, что пара
доллар-рубль вновь начнет тестировать поддержку 87,50, и не
исключаем, что ей удастся закрепиться ниже нее"", - полагает
Алексей Антонов из компании Алор Брокер.
    ""Нельзя исключать, что рубль на этой неделе протестирует
недавние пики с июня - 87,42, 94,70 и 12,09 соответственно"", -
предположила Елена Кожухова из компании Велес Капитал с учетом
текущих факторов поддержки.
    Тем временем, на форексе валюта США пытается выйти в плюс
отношению к корзине из шести ключевых валют, индекс доллара
<=USD> оценивается в 103,25 против 103,23 при закрытии пятницы.
    Пара евро/доллар <EUR=> стала дешеветь и оценивается в
$1,0888, теряя около 0,1%.
    Китайский юань с самого утра минимально дешевеет как на
континентальном рынке (7,1950) <CNY=>, так и на офшорном
(7,2025) <CNH=>.
    Нефтяные котировки днем сместились на положительную
территорию, баррель Brent <LCOc1> сейчас оценивается в $78,64
(+0,1%).
    Инвесторы продолжают анализировать сроки начала снижения
ставок ФРС. Статистика конца прошлой недели, отразившая
устойчивость экономической ситуации в США, несмотря на высокий
уровень кредита, заставила рынки снизить ожидания смягчения
политики Федерезерва в марте.
    При этом у спикеров ФРС будет ""неделя тишины"" в преддверии
заседания американского регулятора 30-31 января. 
    На текущей неделе в фокусе внимания глобальных рынок также
находятся итоги заседаний Банка Японии и ЕЦБ (во вторник и
четверг соответственно), публикация в среду предварительной
январской статистики о деловой активности в крупнейших
экономиках мира, выход в четверг в США данных о ВВП за четвертый
квартал и о заказах на товары длительного пользования, а в
пятницу - инфляционных американских показателей.   

 (Московское бюро)
 ((moscow.newsroom@thomsonreuters.com))",0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
2024-01-22 10:53:17,BUZZ-FX options aren't betting on sustained EUR/USD gains,"* Risk reversals gauge the FX direction most likely to generate volatility
    * They charge an implied volatility premium for strikes in that direction
    * 1-month expiry 25 delta risk reversals is considered as a benchmark
    * EUR/USD's downside strike premium has fallen to long term lows at 0.15
    * It's been this low on several occasions since Apr 2023 vs 3.5 in March
2022
    * However, it has not traded with a topside strike premium since November
2022
    * Option demand for topside strikes has so far proved limited, too 
    * Adopting topside strike premium would reflect growing risk of EUR/USD
gains
    * Low realised and implied volatility reflects current range trade 

For more click on [FXBUZ]

    <^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
1-month expiry EUR/USD 25D risk reversals    https://tmsnrt.rs/3Hu8Xgo
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^>
 (Richard Pace is a Reuters market analyst. The views expressed are his own)
 ((Richard.Pace@thomsonreuters.com))",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,-1,1,-1,1,-1,-1,0,0,0,-1,0
